row_id,split,term_zh,explanation_zh,meaning_en,equivalent_en,distractor_literal_en,distractor_cultural_mismatch_en,distractor_pragmatic_neighbor_en,harmful_label,category_label
0,train,喂我花生,从字面上看，“喂我花生”似乎是在请求他人给自己喂花生，但实际上它的真正含义是希望别人能够站出来，替自己说出心里的想法、表达自己所遭遇的情况或者诉求。,"The phrase means asking others to speak up for me or voice what I cannot say myself, especially when I hope someone else will express my thoughts, situation, or demands on my behalf.",speak up for me,feed me peanuts,peanut gallery,say it louder for the people in the back,non-harmful,Homophonic pun
1,test,法拉利老了还是法拉利,作为高端汽车品牌，法拉利一直以卓越品质和独特魅力著称。网友们借用这个说法，形象地表达某人即便年岁渐长，依然能保持自身独特魅力，如同经典品牌始终令人瞩目。,"It describes someone who remains attractive, elegant, and charismatic despite getting older, suggesting their enduring charm and distinctive appeal still stand out like a classic luxury brand.",aging like fine wine,Ferrari is an old car,old soldiers never die,past one's prime,non-harmful,Stylistic device
2,test,城巴佬,城巴佬，源于“乡巴佬”的反向构造，它戏谑地描绘了那些长期居于城市、对乡村与自然常识知之甚少的人群。,"A self-mocking label for city dwellers who are clueless about rural life, farming, and basic nature knowledge, jokingly suggesting they lack common sense about the countryside and natural environments.",city dweller clueless about rural life,city bus guy,country bumpkin,touch grass,harmful,Stylistic device
3,train,穿小鞋,背后给某人打小报告，陷害某人。大概就是说的是有的人，被别人利用工作职权而较为隐秘的给予报复或者刁难等，设置障碍，制造麻烦，摆掉刁难。一般最常见的比如工作中被打小报告等。,"It means secretly making things difficult for someone, often by abusing one’s position, reporting behind their back, setting obstacles, or creating trouble as a form of hidden retaliation.",make life difficult for someone,make someone wear tight shoes,step into someone’s shoes,throw someone under the bus,non-harmful,Slang
4,train,姨母笑,常常为形容女生看到喜欢的人事物的时候露出来的一种慈爱、宠溺、疼爱的很欣慰的类似于长辈的微笑，最常见的用法是看到比自己年轻的男爱豆时露出的花痴笑来，对方很可爱很招人喜欢。,"An indulgent, doting smile typically shown by an older female toward a cute younger male celebrity, expressing affectionate, almost maternal-like fondness and delighted approval.","a doting, maternal-like smile",an auntie's smile,a soccer-mom smile,a flirty fangirl grin,non-harmful,Stylistic device
5,train,握草,一只手拿草的动作，是一个口头表达，用来表达惊讶、不可思议或者无法接受的事情，也就是“无语”的意思，并不是骂人的意思，也不是脏话。,"A mild euphemistic exclamation used to express shock, disbelief, or speechlessness when something feels absurd, unacceptable, or hard to process, without being intended as profanity or a direct insult.",I can’t even,holding grass,touch grass,Are you kidding me?,non-harmful,Homophonic pun
6,train,牛马,本意是指牛和马，两种牲畜，因为有成语“做牛做马”，现用来比喻为生活所迫供人驱使从事艰苦劳动的人，比喻做苦工的人,"This meme describes a person forced by circumstances to do hard, menial labor for others, likening them to oxen and horses as an exploited beast of burden.",a beast of burden,cattle and horses,a dark horse,a grunt,harmful,Stylistic device
7,train,打酱油,原指购买酱油，网络引申为不关自己的事、不参与、不评论、装不知道，相当于“路过”,"The expression means that something is none of one’s business, so the speaker is just passing by, staying uninvolved, offering no opinion, and acting as if they know nothing about the matter.",None of my business,to buy soy sauce,to pass the buck,I plead the Fifth,non-harmful,Quotation
8,train,翔,指粪便、大便，源自一位名为“翔”的网友，后成为屎的委婉代称。,"“Xiang” is an internet slang euphemism for feces or excrement, meaning poop, originally derived from the name of an online user and later used as a coded substitute for “shit.”",coded euphemism for poop,soar,Sean,bathroom humor,non-harmful,Quotation
9,train,老玻璃,指年长的男同性恋者。“玻璃”是BL（Boy‘s Love）的音译，用于指代男同性恋。,"An older gay man or senior male homosexual, with the term often used informally or teasingly to refer to age within gay male identity or community contexts.",old queen,elderly glass,golden bachelor,bear,harmful,Homophonic pun
10,test,盖了帽了,老北京土话，形容非常出色、优秀，具有压倒性优势。,"An old Beijing slang expression meaning something is exceptionally good or outstanding, often implying it stands far above the rest and has a clear, overwhelming advantage.",second to none,put a lid on it,block a shot,pretty good,non-harmful,Slang
11,train,神金,一些玩家为了能够在游戏聊天中表达出“神经”的意思，便使用神金一词来作为替代，其实就是“神经”的谐音梗,"This term is a homophonic substitute used in game chats to playfully or mockingly call someone crazy, weird, irrational, or mentally off, often as a joking insult rather than a literal diagnosis.",unhinged,divine gold,nerve,touch grass,harmful,Homophonic pun
12,test,浇给,浇给是一位回族的抖音博主 @敦煌老马 每次在吃羊头之前都会说的一句话，意思大概就是“倒上”“浇上”的意思,"Jiao gei"" is a food-vlog catchphrase meaning to pour or drizzle sauce over the food before eating, popularized by a Douyin creator who says it before eating lamb head.",sauce it up,water it for me,give it a shower,pour one out,non-harmful,Quotation
13,train,我勒个骚刚,类似于一个口头禅，就好比如“我勒个去”差不多的用法,"A playful catchphrase used to express surprise, disbelief, or mild shock, similar to “what the heck,” often said casually as an exaggerated reaction to something unexpected or ridiculous.",what the heck,my sassy steel,"damn, that’s slick",oh my gosh,non-harmful,Homophonic pun
14,train,卷心菜人,网络流行词，徒有一颗想卷的心，但本质依然很菜，主要用来自嘲。卷心菜说别人的时候，意思是指对方真的很菜，且又菜又爱卷。,"A self-mocking label for someone who wants to compete, grind, or keep up with intense effort, but is still bad at it and knows their ambition exceeds their actual ability.",tryhard noob,cabbage person,couch potato,tryhard,non-harmful,Experience
15,test,回锅肉,本身是一道菜名，作为网络语，意思是指参加过一次以上选秀节目的人，或者理解为已经出道过一次，但又再次出道。回锅肉是饭圈内的一种常见的拉踩攻击名词，为让自己心仪的pick成功杀出重围，通过类似的diss行为，抹黑、拉低其现有的成绩来达到目的。,"A derogatory fan slang term for a contestant or idol who has already appeared on talent shows or debuted before and is now trying again, often used to undermine their current achievements.",retread contestant,twice-cooked pork,comeback kid,has-been,harmful,Stylistic device
16,train,彩虹屁,思是花式吹捧自己的爱豆，上级或者男（女）朋友，只有优点没有缺点，哪怕是缺点也会说成优点，夸人的话不带重样的，夸得你天花乱坠找不到北。,"It means over-the-top, flowery praise that hypes someone up as if they can do no wrong, praising every trait extravagantly and even turning flaws into compliments.",gas someone up,rainbow fart,blow smoke,kiss up to someone,non-harmful,Stylistic device
17,train,马杀鸡,络热词，也称为马萨基，源于英语单词massage的直接音译，一般是指推拿按摩。,"A playful phonetic transliteration of “massage,” this meme term refers to getting a body massage, therapeutic rub, or hands-on relaxation treatment, often used casually or humorously in online conversation.",massage,horse kills chicken,message,spa day,non-harmful,Homophonic pun
18,test,小趴菜,云贵川方言，网络语，形容词，比喻人很弱，能力不行，像煮熟的白菜/青菜一样，软趴趴的，无精打采，没有任何战斗力。,"A playful or mocking term for someone who seems weak, useless, low-energy, or completely lacking in fighting power, like a limp cooked vegetable with no strength or spirit.",wet noodle,little limp cabbage,couch potato,noob,harmful,Slang
19,train,九漏鱼,网络流行语，全称“九年义务教育漏网之鱼”，意思是指没有完成小学初中九年义务教育的人，多用来比喻文化程度较低的艺人，常用于娱乐圈，和央媒怒批的“文盲”遥相呼应。,"“Jiulouyu” is a mocking or self-deprecating label for someone who seems poorly educated or lacks basic cultural or literacy knowledge, often used to ridicule celebrities who appear to have missed basic schooling.",poorly educated and basically illiterate,a fish that escaped the nine-year compulsory-education net,fish out of water,class clown,harmful,Abbreviation
20,test,双标,网络用语，“双重标准”的缩写。简单说来，就是用不同的标尺来衡量两个（及以上）物品（或事件）。或者对人有不同的评判标准，比如对自己和对别人的标准不一样（对别人要求高对自己低）。或者说对同一性质的事情，会根据自己的喜好、利益等原因作出截然相反的判断或行为，亦或者同一件事开头和结尾产生不同的评判标准的情况。将两个及以上事物或人放在一起比较时，使用的评判标准并不统一，或有明显的倾向性。生活中经常双标的人，会被调侃为“双标狗”。,"Double standard"" means applying different standards to similar people or situations, often judging others more harshly than oneself, especially when someone changes their judgment based on personal preference, self-interest, or bias.",double standards,double labels,two-faced,moving the goalposts,non-harmful,Abbreviation
21,train,屌丝 / 吊丝,屌丝，又叫吊丝，是网络文化的讽刺用语，是又穷又矮又丑多挫折为特点的苦B青年的自称，开始时通常用作称呼“穷、丑、矮、挫、撸、呆、胖”（与“高富帅”相对）的男生。,"A self-deprecating or mocking label for a poor, unattractive, unlucky, and socially frustrated young man, often used online to describe someone seen as the opposite of a tall, rich, handsome, successful ideal.",loser,dick silk,neckbeard,incel,harmful,Stylistic device
22,train,我顶你个肺,网络语，广东俚语，一般是表示愤怒或不满，这是一句骂人的话,"A Cantonese curse used online to vent anger, irritation, or dissatisfaction toward someone, roughly equivalent to saying “damn you” or “screw you” depending on the situation.",screw you,I hit your lung,take my breath away,what the hell,harmful,Slang
23,train,下头男,即让人感到扫兴的男性。,"A “downer man” refers to a man whose words, attitude, or behavior instantly turns people off, kills the mood, or ruins the vibe in an otherwise enjoyable interaction.",a guy who gives you the ick,down-headed man,alpha male,red flag guy,harmful,Stylistic device
